Name	Price	Cuisine	Award	City	Country	Price Level
GästeHaus Klaus Erfort	€	Classic French	2	Saarbrücken	Germany	4
Lakeside	€	Modern Cuisine	2	Hamburg	Germany	4
sein	€	Modern Cuisine	2	Karlsruhe	Germany	4
Lorenz Adlon Esszimmer	€	Creative	2	Berlin	Germany	4
Le Cerf	€	Classic French	2	Zweiflingen	Germany	4
Horváth	€	Creative	2	Berlin	Germany	4
Alex Dilling at Hotel Café Royal	£	Modern French	2	London	United Kingdom	4
Ynyshir	£	Creative	2	Machynlleth	United Kingdom	4
The Ledbury	£	Modern Cuisine	2	London	United Kingdom	4
Da Terra	£	Creative	2	London	United Kingdom	4
A. Wong	£	Chinese	2	London	United Kingdom	4
Le Manoir aux Quat' Saisons, a Belmond Hotel	£	French	2	Great Milton	United Kingdom	4
Hand and Flowers	£	Modern British	2	Marlow	United Kingdom	4
Midsummer House	£	Creative	2	Cambridge	United Kingdom	4
Le Gavroche	£	French	2	London	United Kingdom	4
Andrew Fairlie at Gleneagles	£	Modern French	2	Auchterarder	United Kingdom	4
Raby Hunt	£	Modern British	2	Summerhouse	United Kingdom	4
Restaurant Sat Bains	£	Creative	2	Nottingham	United Kingdom	4
Dinner by Heston Blumenthal	£	Traditional British	2	London	United Kingdom	4
Patrick Guilbaud	$	Modern French	2	Dublin City	Ireland	4
Ikoyi	£	Creative	2	London	United Kingdom	4
The Clove Club	£	Creative	2	London	United Kingdom	4
Kitchen Table	£	Modern Cuisine	2	London	United Kingdom	4
Claude Bosi at Bibendum	£	French	2	London	United Kingdom	4
Moor Hall	£	Modern British	2	Aughton	United Kingdom	4
Liath	$	Creative	2	Blackrock	Ireland	4
Story	£	Modern Cuisine	2	London	United Kingdom	4
Chapter One by Mickael Viljanen	$	Modern Cuisine	2	Dublin City	Ireland	4
Colette - De Vijvers	€	Modern French	2	Averbode	Belgium	4
The Jane	€	Creative	2	Antwerpen	Belgium	4
Château du Mylord	€	Contemporary	2	Ellezelles	Belgium	4
De Jonkman	€	Creative	2	Sint-Kruis	Belgium	4
Ma Langue Sourit	€	Modern Cuisine	2	Oetrange	Luxembourg	4
Nuance	€	Creative	2	Duffel	Belgium	4
Hertog Jan at Botanic	€	Creative	2	Antwerpen	Belgium	4
Le Chalet de la Forêt	€	Creative	2	Uccle	Belgium	4
Slagmolen	€	Traditional Cuisine	2	Opglabbeek	Belgium	4
Castor	€	Modern French	2	Beveren-Leie	Belgium	4
La Table de Maxime	€	Modern Cuisine	2	Our	Belgium	4
Ralf Berendsen	€	Creative	2	Neerharen	Belgium	4
Bartholomeus	€	Modern Cuisine	2	Heist	Belgium	4
L'Auberge de Montmin	€	Creative	2	Talloires-Montmin	France	4
Le Parc Les Crayères	€	Modern Cuisine	2	Reims	France	4
La Table de Pavie	€	Creative	2	Saint-Emilion	France	4
Paul Bocuse	€	Classic Cuisine	2	Collonges-au-Mont-d'Or	France	4
La Chèvre d'Or	€	Creative	2	Èze	France	4
Takao Takano	€	Creative	2	Lyon	France	4
Christopher Coutanceau	€	Seafood	2	La Rochelle	France	4
Maison Rostang	€	Classic Cuisine	2	Paris	France	4
Casadelmar	€	Modern Cuisine	2	Porto-Vecchio	France	4
Mère Brazier	€	Classic Cuisine	2	Lyon	France	4
Relais de la Poste	€	Classic Cuisine	2	Magescq	France	4
Le Chabichou by Stéphane Buron	€	Modern Cuisine	2	Courchevel	France	4
La Table de Yoann Conte	€	Creative	2	Veyrier-du-Lac	France	4
Table - Bruno Verjus	€	Modern Cuisine	2	Paris	France	4
Le Grand Restaurant - Jean-François Piège	€	Creative	2	Paris	France	4
Sur Mesure par Thierry Marx	€	Creative	2	Paris	France	4
Guy Savoy	€	Modern Cuisine	2	Paris	France	4
La Villa Archange	€	Modern Cuisine	2	Le Cannet	France	4
Le Gabriel - La Réserve Paris	€	Creative	2	Paris	France	4
Le Taillevent	€	Classic Cuisine	2	Paris	France	4
La Merise	€	Modern Cuisine	2	Laubach	France	4
Marsan par Hélène Darroze	€	Modern Cuisine	2	Paris	France	4
La Table d'Olivier Nasti	€	Creative	2	Kaysersberg	France	4
JY'S	€	Creative	2	Colmar	France	4
Le Pressoir d'Argent - Gordon Ramsay	€	Modern Cuisine	2	Bordeaux	France	4
Le Puits Saint Jacques	€	Creative	2	Pujaudran	France	4
Auberge de l'Ill	€	Classic Cuisine	2	Illhaeusern	France	4
Auberge du Cheval Blanc	€	Modern Cuisine	2	Lembach	France	4
Serge Vieira	€	Creative	2	Chaudes-Aigues	France	4
Château de Beaulieu - Christophe Dufossé	€	Modern Cuisine	2	Busnes	France	4
La Côte Saint-Jacques	€	Classic Cuisine	2	Joigny	France	4
Le Pré - Xavier Beaudiment	€	Creative	2	Clermont-Ferrand	France	4
La Grand'Vigne - Les Sources de Caudalie	€	Modern Cuisine	2	Martillac	France	4
Le Skiff Club	€	Modern Cuisine	2	Pyla-sur-Mer	France	4
Le Blue Bay	€	Creative	2	Monaco	France	4
Lalique	€	Modern Cuisine	2	Bommes	France	4
Racine	€	Creative	2	Reims	France	4
La Côte d'Or	€	Modern Cuisine	2	Saulieu	France	4
Maison Jeunet	€	Modern Cuisine	2	Port-Lesney	France	4
Hostellerie Jérôme	€	Mediterranean Cuisine	2	La Turbie	France	4
Le Sarkara	€	Creative	2	Courchevel	France	4
L'Auberge des Glazicks	€	Creative	2	Plomodiern	France	4
La Voile - La Réserve Ramatuelle	€	Modern Cuisine	2	Ramatuelle	France	4
L'Oiseau Blanc	€	Creative	2	Paris	France	4
La Fourchette des Ducs	€	Creative	2	Obernai	France	4
Anne de Bretagne	€	Creative	2	La Plaine-sur-Mer	France	4
La Scène	€	Modern Cuisine	2	Paris	France	4
Flaveur	€	Creative	2	Nice	France	4
Duende	€	Modern Cuisine	2	Nîmes	France	4
La Grenouillère	€	Creative	2	La Madelaine-sous-Montreuil	France	4
Restaurant Le Meurice Alain Ducasse	€	Creative	2	Paris	France	4
Jean Sulpice	€	Creative	2	Talloires-Montmin	France	4
Michel Kayser - Restaurant Alexandre	€	Modern Cuisine	2	Garons	France	4
Bras	€	Creative	2	Laguiole	France	4
La Pyramide - Patrick Henriroux	€	Modern Cuisine	2	Vienne	France	4
Py-r	€	Modern Cuisine	2	Toulouse	France	4
Mraz & Sohn	€	Creative	2	Vienna	Austria	4
Silvio Nickol Gourmet Restaurant	€	Modern Cuisine	2	Vienna	Austria	4
Konstantin Filippou	€	Modern Cuisine	2	Vienna	Austria	4
SENNS.Restaurant	€	Creative	2	Salzburg	Austria	4
Mezzaluna	฿	French Contemporary	2	Bangkok	Thailand	4
R-Haan	฿	Thai	2	Bangkok	Thailand	4
Le Normandie by Alain Roux	฿	French	2	Bangkok	Thailand	4
Sorn	฿	Southern Thai	2	Bangkok	Thailand	4
Chef's Table	฿	French Contemporary	2	Bangkok	Thailand	4
Sühring	฿	European Contemporary	2	Bangkok	Thailand	4
Moments	€	Creative	2	Barcelona	Spain	4
Disfrutar	€	Creative	2	Barcelona	Spain	4
Angle	€	Modern Cuisine	2	Barcelona	Spain	4
Bo.TiC	€	Creative	2	Corçà	Spain	4
Noor	€	Creative	2	Córdoba	Spain	4
Enoteca Paco Pérez	€	Modern Cuisine	2	Barcelona	Spain	4
Casa Marcial	€	Creative	2	Arriondas	Spain	4
Cinc Sentits	€	Creative	2	Barcelona	Spain	4
Alma	€	Creative	2	Lisbon	Portugal	4
Mugaritz	€	Creative	2	Errenteria	Spain	4
Iván Cerdeño	€	Modern Cuisine	2	Toledo	Spain	4
Bardal	€	Creative	2	Ronda	Spain	4
Smoked Room	€	Contemporary	2	Madrid	Spain	4
Cabaña Buenavista	€	Creative	2	El Palmar	Spain	4
Les Cols	€	Creative	2	Olot	Spain	4
Culler de Pau	€	Creative	2	O Grove	Spain	4
Skina	€	Modern Cuisine	2	Marbella	Spain	4
El Rincón de Juan Carlos	€	Creative	2	Adeje	Spain	4
Ocean	€	Creative	2	Porches	Portugal	4
Amelia by Paulo Airaudo	€	Creative	2	Donostia / San Sebastián	Spain	4
The Yeatman	€	Creative	2	Vila Nova de Gaia	Portugal	4
Vila Joya	€	Modern Cuisine	2	Albufeira	Portugal	4
El Poblet	€	Creative	2	Valencia	Spain	4
El Molino de Urdániz	€	Creative	2	Urdaitz	Spain	4
Paco Roncero	€	Creative	2	Madrid	Spain	4
Miramar	€	Creative	2	Llançà	Spain	4
M.B	€	Creative	2	Guía de Isora	Spain	4
Voro	€	Modern Cuisine	2	Canyamel	Spain	4
Pepe Vieira	€	Creative	2	Raxó	Spain	4
Ramón Freixa Madrid	€	Creative	2	Madrid	Spain	4
BonAmb	€	Creative	2	Xàbia	Spain	4
Coque	€	Creative	2	Madrid	Spain	4
DSTAgE	€	Creative	2	Madrid	Spain	4
Casa de Chá da Boa Nova	€	Seafood	2	Leça da Palmeira	Portugal	4
Édition Koji Shimomura	¥	French	2	Tokyo	Japan	3
Tempura Ginya	¥	Tempura	2	Tokyo	Japan	3
Daigo	¥	Shojin	2	Tokyo	Japan	3
Nihombashikakigaracho Sugita	¥	Sushi	2	Tokyo	Japan	4
Higashiazabu Amamoto	¥	Sushi	2	Tokyo	Japan	4
Myojaku	¥	Japanese	2	Tokyo	Japan	4
NARISAWA	¥	Innovative	2	Tokyo	Japan	4
Sawada	¥	Sushi	2	Tokyo	Japan	4
Jingumae Higuchi	¥	Japanese	2	Tokyo	Japan	4
PRISMA	¥	Italian	2	Tokyo	Japan	3
Tentempura Uchitsu	¥	Tempura	2	Tokyo	Japan	4
Seizan	¥	Japanese	2	Tokyo	Japan	4
Nabeno-Ism	¥	French	2	Tokyo	Japan	3
Kutan	¥	Japanese	2	Tokyo	Japan	4
Kaiseki Komuro	¥	Japanese	2	Tokyo	Japan	4
Seisoka	¥	Japanese	2	Tokyo	Japan	4
Kioicho Fukudaya	¥	Japanese	2	Tokyo	Japan	4
Den	¥	Japanese	2	Tokyo	Japan	3
Usukifugu Yamadaya	¥	Fugu / Pufferfish	2	Tokyo	Japan	4
Ginza Shinohara	¥	Japanese	2	Tokyo	Japan	4
Kobikicho Tomoki	¥	Sushi	2	Tokyo	Japan	4
ASAHINA Gastronome	¥	French	2	Tokyo	Japan	4
Ginza Kojyu	¥	Japanese	2	Tokyo	Japan	4
Tempura Kondo	¥	Tempura	2	Tokyo	Japan	3
BEIGE Alain Ducasse	¥	French	2	Tokyo	Japan	3
Harutaka	¥	Sushi	2	Tokyo	Japan	4
Sushi Kanesaka	¥	Sushi	2	Tokyo	Japan	4
Akasaka Kikunoi	¥	Japanese	2	Tokyo	Japan	3
Ginza Fukuju	¥	Japanese	2	Tokyo	Japan	4
Florilège	¥	French	2	Tokyo	Japan	3
Sukiyabashi Jiro Roppongiten	¥	Sushi	2	Tokyo	Japan	4
Jungsik	₩	Contemporary	2	Seoul	South Korea	4
Kwonsooksoo	₩	Korean	2	Seoul	South Korea	4
La Yeon	₩	Korean	2	Seoul	South Korea	4
Joo Ok	₩	Korean	2	Seoul	South Korea	4
alla Prima	₩	Innovative	2	Seoul	South Korea	4
Kojima	₩	Sushi	2	Seoul	South Korea	4
Soigné	₩	Innovative	2	Seoul	South Korea	4
Ryō-shō	¥	Japanese	2	Kyoto	Japan	4
Gion Owatari	¥	Japanese	2	Kyoto	Japan	4
VELROSIER	¥	Chinese	2	Kyoto	Japan	3
Sushi Harasho	¥	Sushi	2	Osaka	Japan	3
Kikunoi Roan	¥	Japanese	2	Kyoto	Japan	3
KAHALA	¥	Innovative	2	Osaka	Japan	4
Kenninji Gion Maruyama	¥	Japanese	2	Kyoto	Japan	4
Miyamaso	¥	Japanese	2	Kyoto	Japan	3
Numata	¥	Tempura	2	Osaka	Japan	4
Koryu	¥	Japanese	2	Osaka	Japan	4
Tenjimbashi Aoki	¥	Japanese	2	Osaka	Japan	3
Oryori Mitsuyasu	¥	Japanese	2	Kyoto	Japan	4
Fujiya 1935	¥	Innovative	2	Osaka	Japan	4
Yusokuryori Mankamero	¥	Japanese	2	Kyoto	Japan	3
Otagi	¥	Japanese	2	Kyoto	Japan	4
Ogata	¥	Japanese	2	Kyoto	Japan	4
Shimmonzen Yonemura	¥	Innovative	2	Kyoto	Japan	3
Kyokaiseki Kichisen	¥	Japanese	2	Kyoto	Japan	4
Gion Nishikawa	¥	Japanese	2	Kyoto	Japan	3
Gion Maruyama	¥	Japanese	2	Kyoto	Japan	4
Sojiki Nakahigashi	¥	Japanese	2	Kyoto	Japan	3
Wagokoro Izumi	¥	Japanese	2	Kyoto	Japan	3
Gion Matayoshi	¥	Japanese	2	Kyoto	Japan	4
Miyamoto	¥	Japanese	2	Osaka	Japan	3
Sumibi Kappo Ifuki	¥	Japanese	2	Kyoto	Japan	4
Kodaiji Wakuden	¥	Japanese	2	Kyoto	Japan	4
Bottiglieria 1881	€	Creative	2	Krakow	Poland	4
Deessa	€	Creative	2	Madrid	Spain	4
Ricard Camarena	€	Creative	2	Valencia	Spain	4
Il Gallo d'Oro	€	Modern Cuisine	2	Funchal	Portugal	4
Oteque	$	Modern Cuisine	2	Rio de Janeiro	Brazil	4
DC. by Darren Chin	$	French Contemporary	1	Kuala Lumpur	Malaysia	4
Auntie Gaik Lean's Old School Eatery	$	Peranakan	1	George Town	Malaysia	2
Au Jardin	$	European Contemporary	1	George Town	Malaysia	3
Maison Lameloise	¥	French Contemporary	1	Shanghai	China Mainland	4
Tea Culture (East Beijing Road)	¥	Huaiyang	1	Shanghai	China Mainland	3
Meet the Bund (Zhongshan Dong Er Road)	¥	Fujian	1	Shanghai	China Mainland	3
Yu Zhi Lan	¥	Sichuan	1	Shanghai	China Mainland	4
Cheng Long Hang (Huangpu)	¥	Shanghainese	1	Shanghai	China Mainland	3
Xin Rong Ji (West Nanjing Road)	¥	Taizhou	1	Shanghai	China Mainland	3
Moose (Pudong)	¥	Huaiyang	1	Shanghai	China Mainland	3
Jin Xuan	¥	Cantonese	1	Shanghai	China Mainland	4
Sheng Yong Xing (Huangpu)	¥	Beijing Cuisine	1	Shanghai	China Mainland	3
Yong Yi Ting	¥	Shanghainese	1	Shanghai	China Mainland	3
Tou Zao	¥	Cantonese	1	Shanghai	China Mainland	4
Il Ristorante - Niko Romito	¥	Italian	1	Shanghai	China Mainland	4
Yong Fu (Huangpu)	¥	Ningbo	1	Shanghai	China Mainland	3
Fu He Hui	¥	Vegetarian	1	Shanghai	China Mainland	4
Ming Court	¥	Cantonese	1	Shanghai	China Mainland	3
Le Comptoir de Pierre Gagnaire	¥	French	1	Shanghai	China Mainland	4
Moose (Changning)	¥	Huaiyang	1	Shanghai	China Mainland	3
Phénix	¥	French	1	Shanghai	China Mainland	4
Obscura	¥	Innovative	1	Shanghai	China Mainland	4
Amazing Chinese Cuisine (Changning)	¥	Chao Zhou	1	Shanghai	China Mainland	4
Canton Table	¥	Cantonese	1	Shanghai	China Mainland	3
Oriental Sense & Palate	¥	Chao Zhou	1	Shanghai	China Mainland	4
Jean Georges	¥	French	1	Shanghai	China Mainland	4
Da Dong (Xuhui)	¥	Chinese Contemporary	1	Shanghai	China Mainland	3
Lao Zheng Xing (Huangpu)	¥	Shanghainese	1	Shanghai	China Mainland	2
Yi Long Court	¥	Cantonese	1	Shanghai	China Mainland	4
Fu 1039	¥	Shanghainese	1	Shanghai	China Mainland	3
Ling Long	¥	Innovative	1	Shanghai	China Mainland	4
YongFoo Élite	¥	Shanghainese	1	Shanghai	China Mainland	4
Lei Garden (Pudong)	¥	Cantonese	1	Shanghai	China Mainland	3
Lei Garden (Xuhui)	¥	Cantonese	1	Shanghai	China Mainland	2
